Marital_status,Application_mode,Application_order,Daytime_evening_attendance,Previous_qualification_grade,Mothers_qualification,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Status
single,17,5,daytime,122.0,19,127.3,yes,no,yes,male,no,20,0,0,0,0.0,0,0,0,0,0.0,0,0
single,15,1,daytime,160.0,1,142.5,yes,no,no,male,no,19,6,6,6,14.0,0,6,6,6,13.666666666666666,0,1
single,1,5,daytime,122.0,37,124.8,yes,no,no,male,no,19,6,0,0,0.0,0,6,0,0,0.0,0,0
single,17,2,daytime,122.0,38,119.6,yes,no,yes,female,no,20,6,8,6,13.428571428571429,0,6,10,5,12.4,0,1
married,39,1,evening,100.0,37,141.5,no,no,yes,female,no,45,6,9,5,12.333333333333334,0,6,6,6,13.0,0,1
married,39,1,evening,133.1,37,114.8,no,yes,yes,male,no,50,5,10,5,11.857142857142858,0,5,17,5,11.5,5,1
single,1,1,daytime,142.0,19,128.4,yes,no,yes,female,yes,18,7,9,7,13.3,0,8,8,8,14.345,0,1
single,18,4,daytime,119.0,37,113.1,yes,no,no,male,no,22,5,5,0,0.0,0,5,5,0,0.0,0,0
single,1,3,daytime,137.0,1,129.3,no,no,yes,female,yes,21,6,8,6,13.875,0,6,7,6,14.142857142857142,0,1
single,1,1,daytime,138.0,1,123.0,yes,yes,no,female,no,18,6,9,5,11.4,0,6,14,2,13.5,0,0
single,1,1,daytime,139.0,38,130.6,yes,no,yes,female,no,18,6,6,6,12.333333333333334,0,6,7,5,14.2,0,1
single,1,1,daytime,136.0,19,119.3,yes,no,yes,female,yes,18,8,8,7,13.214285714285714,0,8,8,7,13.214285714285714,0,1
single,1,2,daytime,133.0,19,130.2,yes,no,yes,female,no,19,6,6,0,0.0,0,6,0,0,0.0,0,0
single,53,1,daytime,110.0,1,111.8,yes,no,yes,female,yes,21,6,7,6,10.571428571428571,0,6,8,5,11.0,0,1
single,1,1,daytime,149.0,38,137.1,yes,no,yes,female,yes,18,5,7,4,13.25,0,5,5,5,12.0,0,1
single,1,1,daytime,127.0,19,120.7,yes,no,yes,female,no,20,6,6,5,13.2,0,6,7,0,0.0,0,0
single,18,1,daytime,137.0,19,137.4,yes,no,yes,female,no,18,6,10,1,12.0,0,6,14,2,11.0,0,1
single,17,2,daytime,135.0,19,127.3,yes,no,yes,female,no,18,7,8,7,13.30625,0,8,8,8,14.545,0,1
single,1,1,daytime,137.0,3,136.3,yes,no,yes,female,no,20,5,8,4,12.5,1,5,8,4,12.25,2,1
single,1,1,daytime,140.0,19,124.6,yes,no,yes,female,no,18,7,7,6,11.666666666666666,0,7,8,6,13.5,0,1
